"Title","Artist","Duration"
"Picture","Sheryl Crow & Kid Rock","05:11"
"Creep","Radiohead","04:11"
"Give Me One Reason","Tracy Chapman","04:13"
"Picture (Duet)","Kid Rock & Sheryl Crow","05:09"
"Purple Rain","Prince","05:03"
"hotel california","the eagles","04:58"
"Wonderwall","Oasis","04:16"
"Landslide","Fleetwood Mac","03:32"
"Brown Eyed Girl","Van Morrison","03:31"
"Whats Up","4 Non Blondes","04:27"
"Stay","Rihanna","04:04"
"Take It Easy","The Eagles","03:40"
"Dancing Queen","ABBA","04:29"
"Colt 45","Afroman","06:14"
"Mr. Brightside","The Killers","03:50"
"Dreams","Fleetwood Mac","04:30"
"Picture","Sheryl Crow & Kid Rock","05:12"
"The Sound of Silence","Disturbed","04:34"
"Sweet Dreams are Made of These","Eurythmics","03:32"
"Don't Look Back In Anger","Oasis","04:57"
"Wicked Game","Chris Isaak","05:05"
"Desperado","The Eagles","03:48"
"Lyin' Eyes","Eagles","06:33"
"Hotel California","the Eagles","04:28"
"Lose Yourself","Eminem","05:37"
"Juicy","Notorious B.I.G.","05:34"
"F*ck Her Gently","Tenacious D","02:19"
"Something Just Like This","The Chainsmokers and Coldplay","04:21"
"Comfortably","Pink Floyd","06:43"
"You were meant for me","Jewel","04:01"
"Fergalicious","Fergie","05:08"
"Ignition (Remix)","R. Kelly","03:20"
"the sound of silence","disturbed","04:24"
"Bartender Song","Rehab","03:31"
"Desperado","Eagles","03:54"
"Like a Prayer","Madonna","04:43"
"With or without you","U2","05:13"
"What's Up","4 Non Blondes","04:31"
"Islands in the stream","kenny and dolly","04:07"
"Islands in the stream","Kenny Rogers Dolly Parton","04:11"
"Roar","Katy Perry","04:01"
"Tequila sunrise","Eagles","03:14"
"I Kissed A Girl","Katy Perry","03:19"
"Creep","Radiohead","04:07"
"Forgot About Dre","Dr. Dre & Eminem","03:53"
"What's Up","Four Non Blondes","04:35"
"Basket Case","Green Day","03:20"
"Nothing Compares 2 U","Sinead O'Connor","04:52"
"Sound Of Silence","Simon & Garfunkel","03:22"
"Desperado","Eagles","03:35"
